,location,price,bedrooms,bathrooms,garage,area
348,Moctezuma Pte.,"
                    $9,250
                    
                ",2,1,1,83 m²
349,Jal.,"
                    $15,000
                    
                ",3,2,2,122 m²
350,Royal Country,"
                    $27,000
                    
                ",2,2,2,72 m²
351,Cd del Sol,"
                    $28,000
                    
                ",2,3,2,147 m²
352,Nuevo México,"
                    $19,000
                    
                ",4,4+,0,156 m²
353,Puerta de Hierro,"
                    $26,000
                    
                ",2,2,1,98 m²
354,Arboledas,"
                    $13,000
                    
                ",2,1,1,90 m²
355,Patria,"
                    $10,900
                    
                ",3,1,1,83 m²
356,Bosques del Centinela II,"
                    $15,000
                    
                ",3,3,2,100 m²
357,Jal.,"
                        $10,500
                        
                    ",3,2,2,90 m²
358,Zapopan,"
                    $24,000
                    
                ",2,2,3,150 m²
359,Santa Ana Tepetitlán,"
                    $14,500
                    
                ",3,2,2,119 m²
360,Lomas del Valle,"
                    $34,200
                    
                ",2,2,2,115 m²
361,Zapopan,"
                    $11,000
                    
                ",3,2,2,115 m²
362,Universitaria,"
                    $12,000
                    
                ",1,1,1,70 m²
363,Puerta de Hierro,"
                    $57,000
                    
                ",4,4+,4+,420 m²
364,Los Pinos,"
                    $9,000
                    
                ",2,2,2,80 m²
365,Zapopan,"
                    $23,000
                    
                ",2,2,2,125 m²
366,Jardines del Valle,"
                    $16,500
                    
                ",3,2,2,128 m²
367,Las Agujas,"
                    $9,000
                    
                ",3,4+,2,90 m²
368,Zapopan,"
                        $8,500
                        
                    ",3,2,1,96 m²
369,La Cima,"
                    $21,900
                    
                ",3,2,2,180 m²
370,La Mojonera,"
                        $40,000
                        
                    ",3,4+,2,242 m²
371,La Giralda,"
                    $18,800
                    
                ",3,3,2,175 m²
372,Valle Real,"
                        $28,000
                        
                    ",3,3,2,300 m²
373,Zapopan,"
                    $10,000
                    
                ",2,2,2,155 m²
374,Lomas Altas,"
                    $29,600
                    
                ",2,2,2,148 m²
375,Chapultepec Country,"
                    $35,000
                    
                ",4,3,2,
376,Monraz,"
                    $35,000
                    
                ",2,2,2,
377,Obrera,"
                    $21,000
                    
                ",3,2,2,
378,Obrera,"
                    $26,000
                    
                ",3,2,1,
379,Vallarta Nte.,"
                    $35,000
                    
                ",2,2,2,
380,Arcos,"
                    $21,000
                    
                ",2,1,1,
381,Colomos Providencia,"
                    $75,000
                    
                ",3,4+,1,
382,Americana,"
                    $32,000
                    
                ",2,2,1,
